Date,Close
2020-03-25,2475.6
2020-03-26,2469.2
2020-03-27,2462.8
2020-03-28,2456.4
2020-03-29,2450.0
2020-03-30,2443.7
2020-03-31,2437.3
2020-04-01,2430.9
2020-04-02,2424.5
2020-04-03,2418.1
2020-04-04,2411.7
2020-04-05,2405.4
2020-04-06,2399.0
2020-04-07,2392.6
2020-04-08,2386.2
2020-04-09,2379.8
2020-04-10,2373.5
2020-04-11,2367.1
2020-04-12,2360.7
2020-04-13,2354.3
2020-04-14,2347.9
2020-04-15,2341.6
2020-04-16,2335.2
2020-04-17,2328.8
2020-04-18,2322.4
2020-04-19,2316.0
2020-04-20,2309.6
2020-04-21,2303.3
2020-04-22,2296.9
2020-04-23,2290.5
2020-04-24,2284.1
2020-04-25,2277.7